,Country,Year,Area,Population in 2018[25],GDP per capita in 2018[26],Population density,Vehicle ownership,Total Road Deaths in 2018[30],Road deaths
0,,2018,(thousands of km2)[24],,,(inhabitants per km2) in 2017[27],(per thousand inhabitants) in 2016[28],,per Million Inhabitants in 2018[30]
1,United Kingdom,2018,248.5,66273576,32400,273,544,1825.0,28
2,Sweden,2018,438.6,10120242,43300,25,542,324.0,32
3,Spain,2018,506,46658447,25000,93,611,1806.0,39
4,Slovenia,2018,20.3,2066880,20200,103,587,91.0,44
5,Slovakia,2018,49,5443120,15600,113,455,229.0,46
6,Romania,2018,238.4,19530631,8700,85,329,1867.0,96
7,Portugal,2018,92.2,10291027,17900,112,479,606.0,59
8,Poland,2018,312.7,37976687,12400,124,672,2862.0,76
9,Netherlands,2018,41.5,17181084,41500,508,543,678.0,31
10,Malta,2018,0.3,475701,21600,1462,726,18.0,38
11,Luxembourg,2018,2.6,602005,80800,245,740,36.0,60
12,Lithuania,2018,65.3,2808901,13300,45,501,170.0,61
13,Latvia,2018,64.6,1934379,12300,31,387,143.0,78
14,Italy,2018,302.1,60483973,26700,206,707,3310.0,55
15,Ireland,2018,69.8,4830392,59400,70,525,146.0,31
16,Hungary,2018,93,9778371,12500,108,394,629.0,64
17,Greece,2018,132,10741165,17800,83,605,690.0,64
18,Germany,2018,357.3,"82.792,351",35900,237,610,3177.0,39
19,France,2018,632.8,66926166,32800,123,590,3265.0,48
20,Finland,2018,338.4,5513130,36600,18,732,225.0,43
21,EU 28 Total,2018,4463.4,512379225,28200,121,587,25249.0,49
22,Estonia,2018,45.2,1319133,15100,30,620,67.0,51
23,Denmark,2018,42.9,5781190,47600,137,508,175.0,30
24,Czechia,2018,78.9,10610055,17600,137,570,656.0,62
25,Cyprus,2018,9.3,864236,23300,128,726,49.0,57
26,Croatia,2018,56.5,4105493,"11,500†a",74,416,317.0,77
27,Bulgaria,2018,111,7050034,6500,65,516,611.0,88
28,Belgium,2018,30.5,11398589,35300,376,585,590.0,52
29,Austria,2018,83.9,8822267,38000,107,665,409.0,45
30,†a Data only available for 2017,2018,,,,,,,
